UTC,Local,Temperature,Counts,Frequency,MSAS
2020-08-23T05:01:46.515,2020-08-23T12:01:46.515,29.6,0,33278,8.52
2020-08-23T05:02:16.081,2020-08-23T12:02:16.081,29.9,0,37507,8.38
2020-08-23T05:02:46.077,2020-08-23T12:02:46.077,30.6,0,37253,8.39
2020-08-23T05:03:16.079,2020-08-23T12:03:16.079,30.6,0,37128,8.39
2020-08-23T05:03:46.077,2020-08-23T12:03:46.077,30.9,0,37094,8.40
2020-08-23T05:04:16.075,2020-08-23T12:04:16.075,31.5,0,36952,8.40
2020-08-23T05:04:46.085,2020-08-23T12:04:46.085,31.9,0,37074,8.40
2020-08-23T05:05:16.080,2020-08-23T12:05:16.080,32.2,0,37081,8.40
2020-08-23T05:05:46.080,2020-08-23T12:05:46.080,32.5,0,37292,8.39
2020-08-23T05:06:16.079,2020-08-23T12:06:16.079,33.1,0,36024,8.43
2020-08-23T05:06:46.091,2020-08-23T12:06:46.091,33.5,0,33129,8.52
2020-08-23T05:07:16.078,2020-08-23T12:07:16.078,33.8,0,27853,8.71
2020-08-23T05:07:46.079,2020-08-23T12:07:46.079,33.8,0,19872,9.07
2020-08-23T05:08:16.075,2020-08-23T12:08:16.075,34.4,0,15426,9.34
2020-08-23T05:08:46.084,2020-08-23T12:08:46.084,34.8,0,13624,9.48
2020-08-23T05:09:16.080,2020-08-23T12:09:16.080,35.1,0,12949,9.53
2020-08-23T05:09:46.098,2020-08-23T12:09:46.098,35.4,0,12665,9.56
2020-08-23T05:10:16.084,2020-08-23T12:10:16.084,35.7,0,12479,9.58
2020-08-23T05:10:46.077,2020-08-23T12:10:46.077,36.0,0,12598,9.57
2020-08-23T05:11:16.077,2020-08-23T12:11:16.077,36.0,0,12854,9.54
2020-08-23T05:11:46.077,2020-08-23T12:11:46.077,36.4,0,13204,9.51
2020-08-23T05:12:16.114,2020-08-23T12:12:16.114,36.7,0,13669,9.48
2020-08-23T05:12:46.087,2020-08-23T12:12:46.087,36.7,0,13822,9.47
2020-08-23T05:13:16.085,2020-08-23T12:13:16.085,37.0,0,13888,9.46
2020-08-23T05:13:46.083,2020-08-23T12:13:46.083,37.3,0,14244,9.43
2020-08-23T05:14:16.085,2020-08-23T12:14:16.085,37.3,0,14832,9.39
2020-08-23T05:14:46.093,2020-08-23T12:14:46.093,37.7,0,15304,9.35
2020-08-23T05:15:16.077,2020-08-23T12:15:16.077,37.7,0,15030,9.37
2020-08-23T05:15:46.093,2020-08-23T12:15:46.093,37.7,0,16253,9.29
2020-08-23T05:16:16.085,2020-08-23T12:16:16.085,38.0,0,17170,9.23
2020-08-23T05:16:46.078,2020-08-23T12:16:46.078,38.0,0,17874,9.19
2020-08-23T05:17:16.089,2020-08-23T12:17:16.089,38.0,0,20470,9.04
2020-08-23T05:17:46.088,2020-08-23T12:17:46.088,38.3,0,21400,8.99
2020-08-23T05:18:16.082,2020-08-23T12:18:16.082,38.3,0,31471,8.57
2020-08-23T05:18:46.098,2020-08-23T12:18:46.098,38.3,0,40585,8.30
2020-08-23T05:19:16.078,2020-08-23T12:19:16.078,38.6,0,37401,8.38
2020-08-23T05:19:46.075,2020-08-23T12:19:46.075,38.6,0,18317,9.16
2020-08-23T05:20:16.087,2020-08-23T12:20:16.087,38.6,0,23842,8.87
2020-08-23T05:20:46.074,2020-08-23T12:20:46.074,38.6,0,31153,8.58
2020-08-23T05:21:16.080,2020-08-23T12:21:16.080,39.0,0,28136,8.69
2020-08-23T05:21:46.081,2020-08-23T12:21:46.081,39.0,0,22964,8.91
2020-08-23T05:22:16.111,2020-08-23T12:22:16.111,39.0,0,16655,9.26
2020-08-23T05:22:46.074,2020-08-23T12:22:46.074,39.0,0,18543,9.15
2020-08-23T05:23:16.080,2020-08-23T12:23:16.080,39.3,0,31340,8.58
2020-08-23T05:23:46.078,2020-08-23T12:23:46.078,39.3,0,38002,8.37
2020-08-23T05:24:16.078,2020-08-23T12:24:16.078,39.3,0,36597,8.41
2020-08-23T05:24:46.079,2020-08-23T12:24:46.079,39.6,0,31368,8.57
2020-08-23T05:25:16.083,2020-08-23T12:25:16.083,39.6,0,34975,8.46
2020-08-23T05:25:46.081,2020-08-23T12:25:46.081,39.6,0,36862,8.41
2020-08-23T05:26:16.075,2020-08-23T12:26:16.075,39.6,0,18196,9.17
2020-08-23T05:26:46.079,2020-08-23T12:26:46.079,39.9,0,19053,9.12
2020-08-23T05:27:16.077,2020-08-23T12:27:16.077,39.9,0,16571,9.27
2020-08-23T05:27:46.076,2020-08-23T12:27:46.076,39.9,0,28146,8.69
2020-08-23T05:28:16.093,2020-08-23T12:28:16.093,39.9,0,29157,8.66
2020-08-23T05:28:46.083,2020-08-23T12:28:46.083,40.2,0,17225,9.23
2020-08-23T05:29:16.079,2020-08-23T12:29:16.079,40.2,0,35550,8.44
2020-08-23T05:29:46.080,2020-08-23T12:29:46.080,40.6,0,18620,9.14
2020-08-23T05:30:16.079,2020-08-23T12:30:16.079,40.6,0,34057,8.48
2020-08-23T05:30:46.090,2020-08-23T12:30:46.090,40.6,0,36523,8.41
2020-08-23T05:31:16.080,2020-08-23T12:31:16.080,40.6,0,30515,8.60
2020-08-23T05:31:46.076,2020-08-23T12:31:46.076,40.6,0,34880,8.46
2020-08-23T05:32:16.076,2020-08-23T12:32:16.076,40.9,0,35360,8.44
2020-08-23T05:32:46.078,2020-08-23T12:32:46.078,40.9,0,31351,8.58
2020-08-23T05:33:16.081,2020-08-23T12:33:16.081,41.2,0,33145,8.52
2020-08-23T05:33:46.075,2020-08-23T12:33:46.075,41.2,0,33056,8.52
2020-08-23T05:34:16.083,2020-08-23T12:34:16.083,41.2,0,33101,8.52
2020-08-23T05:34:46.079,2020-08-23T12:34:46.079,41.5,0,33290,8.51
2020-08-23T05:35:16.084,2020-08-23T12:35:16.084,41.5,0,33402,8.51
2020-08-23T05:35:46.073,2020-08-23T12:35:46.073,41.9,0,33396,8.51
2020-08-23T05:36:16.075,2020-08-23T12:36:16.075,41.9,0,33261,8.52
2020-08-23T05:36:46.076,2020-08-23T12:36:46.076,41.9,0,33786,8.50
2020-08-23T05:37:16.074,2020-08-23T12:37:16.074,41.9,0,33565,8.50
2020-08-23T05:37:46.076,2020-08-23T12:37:46.076,42.2,0,34350,8.48
2020-08-23T05:38:16.080,2020-08-23T12:38:16.080,42.2,0,34945,8.46
2020-08-23T05:38:46.084,2020-08-23T12:38:46.084,42.5,0,35382,8.44
2020-08-23T05:39:16.086,2020-08-23T12:39:16.086,42.5,0,31611,8.57
2020-08-23T05:39:46.077,2020-08-23T12:39:46.077,42.5,0,34217,8.48
2020-08-23T05:40:16.090,2020-08-23T12:40:16.090,42.5,0,31411,8.57
2020-08-23T05:40:46.074,2020-08-23T12:40:46.074,42.8,0,12188,9.60
2020-08-23T05:41:16.083,2020-08-23T12:41:16.083,42.8,0,10854,9.73
2020-08-23T05:41:46.076,2020-08-23T12:41:46.076,42.8,0,10752,9.73
2020-08-23T05:42:16.076,2020-08-23T12:42:16.076,42.8,0,11309,9.68
2020-08-23T05:42:46.111,2020-08-23T12:42:46.111,42.8,0,11943,9.62
2020-08-23T05:43:16.077,2020-08-23T12:43:16.077,42.8,0,13095,9.52
2020-08-23T05:43:46.080,2020-08-23T12:43:46.080,42.8,0,12129,9.60
2020-08-23T05:44:16.077,2020-08-23T12:44:16.077,42.8,0,37434,8.38
2020-08-23T05:44:46.076,2020-08-23T12:44:46.076,42.5,0,37041,8.40
2020-08-23T05:45:16.083,2020-08-23T12:45:16.083,42.8,0,36339,8.42
2020-08-23T05:45:46.081,2020-08-23T12:45:46.081,42.8,0,35845,8.43
2020-08-23T05:46:16.083,2020-08-23T12:46:16.083,42.5,0,34985,8.46
2020-08-23T05:46:46.079,2020-08-23T12:46:46.079,42.5,0,34748,8.47
2020-08-23T05:47:16.077,2020-08-23T12:47:16.077,42.5,0,32450,8.54
2020-08-23T05:47:46.082,2020-08-23T12:47:46.082,42.2,0,34575,8.47
2020-08-23T05:48:16.090,2020-08-23T12:48:16.090,42.2,0,34688,8.47
2020-08-23T05:48:46.080,2020-08-23T12:48:46.080,42.2,0,34868,8.46
2020-08-23T05:49:16.078,2020-08-23T12:49:16.078,42.2,0,35089,8.45
2020-08-23T05:49:46.075,2020-08-23T12:49:46.075,42.2,0,35191,8.45
2020-08-23T05:50:16.079,2020-08-23T12:50:16.079,41.9,0,35605,8.44
2020-08-23T05:50:46.082,2020-08-23T12:50:46.082,42.2,0,36220,8.42
2020-08-23T05:51:16.076,2020-08-23T12:51:16.076,42.2,0,23808,8.87
2020-08-23T05:51:46.086,2020-08-23T12:51:46.086,41.9,0,12419,9.58
2020-08-23T05:52:16.078,2020-08-23T12:52:16.078,42.2,0,35639,8.44
2020-08-23T05:52:46.081,2020-08-23T12:52:46.081,41.9,0,35544,8.44
2020-08-23T05:53:16.077,2020-08-23T12:53:16.077,41.9,0,35222,8.45
2020-08-23T05:53:46.078,2020-08-23T12:53:46.078,42.2,0,34802,8.47
2020-08-23T05:54:16.075,2020-08-23T12:54:16.075,42.2,0,34687,8.47
2020-08-23T05:54:46.078,2020-08-23T12:54:46.078,41.9,0,34486,8.48
2020-08-23T05:55:16.084,2020-08-23T12:55:16.084,41.9,0,33857,8.49
2020-08-23T05:55:46.080,2020-08-23T12:55:46.080,42.2,0,33587,8.50
2020-08-23T05:56:16.093,2020-08-23T12:56:16.093,42.2,0,8792,9.96
2020-08-23T05:56:46.075,2020-08-23T12:56:46.075,42.2,0,33452,8.51
2020-08-23T05:57:16.095,2020-08-23T12:57:16.095,42.2,0,32384,8.54
2020-08-23T05:57:46.074,2020-08-23T12:57:46.074,42.2,0,31939,8.56
2020-08-23T05:58:16.082,2020-08-23T12:58:16.082,42.2,0,31679,8.56
2020-08-23T05:58:46.077,2020-08-23T12:58:46.077,42.2,0,31498,8.57
2020-08-23T05:59:16.079,2020-08-23T12:59:16.079,42.2,0,31243,8.58
2020-08-23T05:59:46.075,2020-08-23T12:59:46.075,42.2,0,31269,8.58
2020-08-23T06:00:16.083,2020-08-23T13:00:16.083,42.2,0,31286,8.58
2020-08-23T06:00:46.077,2020-08-23T13:00:46.077,42.5,0,31142,8.58
2020-08-23T06:01:16.075,2020-08-23T13:01:16.075,42.2,0,31026,8.58
2020-08-23T06:01:46.076,2020-08-23T13:01:46.076,42.2,0,31019,8.58
2020-08-23T06:02:16.074,2020-08-23T13:02:16.074,42.2,0,30883,8.59
2020-08-23T06:02:46.077,2020-08-23T13:02:46.077,42.2,0,30863,8.59
2020-08-23T06:03:16.073,2020-08-23T13:03:16.073,42.2,0,30790,8.59
2020-08-23T06:03:46.074,2020-08-23T13:03:46.074,42.2,0,30633,8.60
2020-08-23T06:04:16.073,2020-08-23T13:04:16.073,42.2,0,30649,8.60
2020-08-23T06:04:46.074,2020-08-23T13:04:46.074,42.2,0,30554,8.60
2020-08-23T06:05:16.093,2020-08-23T13:05:16.093,42.2,0,30585,8.60
2020-08-23T06:05:46.079,2020-08-23T13:05:46.079,41.9,0,30430,8.61
2020-08-23T06:06:16.077,2020-08-23T13:06:16.077,41.9,0,30504,8.60
2020-08-23T06:06:46.078,2020-08-23T13:06:46.078,41.9,0,30428,8.61
2020-08-23T06:07:16.075,2020-08-23T13:07:16.075,41.9,0,30326,8.61
2020-08-23T06:07:46.076,2020-08-23T13:07:46.076,41.9,0,30310,8.61
